Size: 25
Found value Kata for key 97897
Did not find the dummy key!
Size: 24
Not empty
34543 -> Knutur
123 -> Magga
321 -> Sigga
7998 -> Finnur
43438 -> Stina
1305784239 -> Bjarni
46546 -> Steinar
65765 -> Robert
35235475 -> Eyrun
6867867 -> Helga
76786 -> Vignir
54654654 -> Gulla
454357 -> Larus
2435 -> Jonas
463467 -> Gugga
3534 -> Arni
38908495 -> Ari
23 -> Siggi
32 -> Gummi
5465 -> Jona
5645 -> Gudny
4903534 -> Brynja
123456789 -> Oli
1210655439 -> Einar


Size: 40
Found value 40 for key 57645
Did not find the dummy key!
Size: 39
Not empty
23432432 -> 18
43643 -> 3
35345 -> 35
089067867 -> 25
23765 -> 2
75643 -> 39
65654 -> 9
6576585 -> 17
432423 -> 11
5465465464 -> 1
88707 -> 32
654 -> 37
456 -> 38
7678657 -> 10
65868 -> 5
676 -> 4
1323 -> 21
235432432 -> 23
345435 -> 28
7687698 -> 12
546544 -> 26
345435435 -> 16
356855 -> 30
6556 -> 15
254654654 -> 20
865856 -> 31
24322 -> 22
879780 -> 29
0987 -> 36
23432 -> 6
24324 -> 8
9098 -> 14
23523 -> 33
87868776 -> 7
8865 -> 19
67967967 -> 27
0÷890789 -> 34
6787 -> 24
23508 -> 13
